"","Variable","Mean","SD","Freq_Detection","Percentage_Detection"
"A","A",3.290870647125,1.5402001708968,80,100
"B","B",0.0279901379375,0.0631470196398168,17,21.25
"C","C",0.0003165228125,0.00283106610071768,1,1.25
"D","D",0.0058647501125,0.038197752360639,2,2.5
"E","E",0.002421081225,0.0216548087925939,1,1.25
"F","F",0.4614337187125,0.535123704301399,69,86.25
"G","G",0.6342598181875,0.55126239077545,78,97.5
"H","H",0.0117449944125,0.0568770555859782,4,5
"I","I",0.0076932047125,0.041184733562987,3,3.75
"J","J",0.0122379674875,0.0659606828282059,3,3.75
"K","K",0.39736674265,0.53866621215365,42,52.5
"L","L",0.006002016325,0.0272292002438922,4,5
